    Class limits   f   rf rf(%)   cf  cf(%)
  [18.81,23.671) 102 0.02  1.81  102   1.81
 [23.671,28.531) 466 0.08  8.27  568  10.08
 [28.531,33.392) 809 0.14 14.36 1377  24.44
 [33.392,38.253) 895 0.16 15.89 2272  40.33
 [38.253,43.114) 917 0.16 16.28 3189  56.60
 [43.114,47.974) 629 0.11 11.16 3818  67.77
 [47.974,52.835) 649 0.12 11.52 4467  79.29
 [52.835,57.696) 541 0.10  9.60 5008  88.89
 [57.696,62.556) 394 0.07  6.99 5402  95.88
 [62.556,67.417) 152 0.03  2.70 5554  98.58
 [67.417,72.278)  51 0.01  0.91 5605  99.49
 [72.278,77.139)  21 0.00  0.37 5626  99.86
 [77.139,81.999)   6 0.00  0.11 5632  99.96
  [81.999,86.86)   2 0.00  0.04 5634 100.00

