    Class limits   f   rf rf(%)   cf  cf(%)
  [17.82,20.804)  61 0.01  1.08   61   1.08
 [20.804,23.787) 161 0.03  2.86  222   3.94
 [23.787,26.771) 312 0.06  5.54  534   9.48
 [26.771,29.754) 505 0.09  8.96 1039  18.44
 [29.754,32.738) 562 0.10  9.98 1601  28.42
 [32.738,35.721) 571 0.10 10.13 2172  38.55
 [35.721,38.705) 624 0.11 11.08 2796  49.63
 [38.705,41.689) 510 0.09  9.05 3306  58.68
 [41.689,44.672) 542 0.10  9.62 3848  68.30
 [44.672,47.656) 432 0.08  7.67 4280  75.97
 [47.656,50.639) 389 0.07  6.90 4669  82.87
 [50.639,53.623) 358 0.06  6.35 5027  89.23
 [53.623,56.606) 304 0.05  5.40 5331  94.62
  [56.606,59.59) 303 0.05  5.38 5634 100.00
